Student_ID,Gender,Branch,Year_of_Study,Age,CGPA,10th_Percentage,12th_Percentage,Backlogs,Attendance_Percentage,Aptitude_Score,IQ_Score,Programming_Score,Technical_Skills_Score,Certifications_Count,Projects_Done,Internship_Count,Internship_Duration_Months,Communication_Score,Teamwork_Score,Leadership_Score,Confidence_Level,Adaptability_Score,Placement_Status,Company_Name,Job_Profile,Salary_Package_LPA,Offer_Type,Family_Income,Location_Type,Placement_Readiness_Score
S0011,Male,CSE,3,21,6.05,90.5,91.6,0,80.8,6.8,115,9.8,8.1,5,4,2,6,8.3,9.7,6.4,7.0,7.6,Placed,TCS,Developer,10.8,On-Campus,870182,Semi-Urban,6.72
S0012,Male,CE,3,20,6.91,68.3,63.9,3,71.4,7.5,129,5.9,9.0,1,6,0,6,6.2,7.9,9.8,9.3,6.1,Not Placed,Wipro,Analyst,13.0,Off-Campus,460690,Rural,7.52
S0013,Male,ME,4,23,8.27,94.3,66.2,4,74.7,6.8,91,8.0,7.0,0,5,1,5,5.2,7.4,5.9,5.1,5.9,Placed,Amazon,Data Engineer,14.5,Off-Campus,547847,Urban,6.77
S0014,Male,ECE,3,20,7.41,73.5,75.0,1,74.1,8.9,93,7.1,6.6,3,6,2,3,6.3,9.3,9.0,8.1,9.8,Placed,Deloitte,Data Engineer,13.5,On-Campus,1034533,Rural,7.36
S0015,Female,CSE,4,21,8.44,69.4,64.4,3,87.7,9.9,139,6.7,7.3,1,4,0,6,9.9,9.7,7.3,9.5,9.1,Not Placed,Amazon,Analyst,14.9,Off-Campus,429186,Rural,8.31
S0016,Male,IT,4,22,6.1,74.8,79.8,1,96.9,7.9,117,7.8,5.7,3,6,1,1,5.9,6.1,7.2,5.5,5.1,Not Placed,Infosys,Software Engineer,8.7,Off-Campus,375061,Rural,6.29
S0017,Female,ECE,3,23,6.47,63.3,73.9,4,93.8,7.2,117,8.9,6.8,5,5,2,11,7.3,9.1,8.7,9.8,6.3,Placed,Deloitte,Intern,6.8,Off-Campus,309491,Urban,6.95
S0018,Female,ECE,4,21,6.51,64.4,70.0,1,86.4,6.1,114,5.1,9.3,3,3,1,8,8.2,9.2,5.7,9.8,6.0,Placed,Accenture,Intern,8.5,Off-Campus,1078782,Semi-Urban,7.13
S0019,Female,CSE,3,23,6.76,74.5,65.9,2,82.7,8.3,115,9.8,5.2,5,1,0,6,9.4,5.3,7.3,9.6,5.7,Placed,Accenture,Analyst,10.7,On-Campus,388091,Urban,6.73
S0020,Male,ECE,3,20,7.84,86.7,71.7,3,88.6,8.4,134,9.0,5.8,2,5,2,1,8.8,8.6,5.2,7.3,8.5,Placed,Deloitte,Developer,9.1,Off-Campus,280396,Semi-Urban,7.3
S0021,Female,IT,4,22,9.01,91.5,81.3,0,83.3,8.4,136,8.8,5.6,4,6,0,9,9.5,5.3,8.4,6.9,7.8,Placed,Accenture,,10.6,On-Campus,633882,Urban,7.74
S0022,Male,EEE,3,20,9.62,83.3,80.2,1,77.4,5.1,91,8.8,7.0,0,5,1,1,8.0,8.0,5.3,8.5,7.3,Placed,TCS,Intern,13.6,On-Campus,802101,Rural,7.46
S0023,Female,ECE,4,22,9.34,63.7,65.7,3,90.4,9.5,131,6.9,10.0,0,5,0,5,9.3,8.3,5.4,6.6,5.9,Not Placed,,Intern,5.0,Off-Campus,1240625,Rural,8.79
S0024,Female,EEE,3,23,6.79,83.5,64.4,3,96.2,6.7,123,8.8,5.9,1,4,1,10,6.3,6.8,9.2,5.3,6.4,Placed,Wipro,Data Engineer,4.4,Off-Campus,596965,Semi-Urban,6.12
S0025,Female,IT,3,23,7.76,82.2,60.9,1,81.2,8.7,119,6.9,5.7,0,6,2,6,7.2,9.4,7.2,9.5,6.8,Not Placed,Infosys,Data Engineer,9.0,Off-Campus,729034,Rural,7.48
S0026,Female,CSE,3,20,6.8,88.2,60.4,0,95.2,8.8,110,9.5,9.6,2,4,0,8,9.2,9.0,6.0,8.2,8.9,Placed,Deloitte,Data Engineer,14.8,On-Campus,1045210,Rural,7.86
S0027,Female,ME,3,22,7.06,88.9,90.8,0,82.9,8.3,133,5.9,9.4,0,6,2,3,6.6,9.6,8.0,6.0,9.9,Placed,,,3.7,Off-Campus,671333,Urban,7.52
S0028,Female,ECE,3,22,8.01,90.4,61.6,1,82.0,7.0,126,6.5,5.2,1,4,2,7,9.4,6.6,7.6,5.1,5.9,Placed,Wipro,Intern,14.8,Off-Campus,1370459,Semi-Urban,6.69
S0029,Female,ME,4,23,6.27,74.5,85.6,3,70.8,8.0,133,7.8,8.8,0,4,2,9,6.8,5.1,7.1,8.6,6.7,Not Placed,Wipro,Intern,14.6,Off-Campus,643801,Urban,7.18
S0030,Female,IT,4,20,6.87,84.4,90.5,0,90.9,5.2,112,6.6,8.3,4,3,2,1,6.8,9.1,9.5,9.3,6.4,Not Placed,Infosys,,6.5,On-Campus,1290975,Urban,6.67
S0031,Male,ECE,4,22,9.74,69.4,63.4,1,94.2,8.8,122,7.1,8.8,5,5,0,5,6.5,6.1,8.7,7.0,5.2,Placed,,Intern,13.7,Off-Campus,1089013,Rural,8.29
S0032,Male,EEE,4,23,7.86,95.0,75.3,1,89.9,5.5,91,7.5,7.5,3,3,0,3,7.7,7.3,5.8,5.4,6.1,Placed,Infosys,Developer,3.1,On-Campus,928999,Urban,6.57
S0033,Female,CE,4,21,7.78,66.1,93.7,1,74.5,7.0,116,9.3,10.0,3,4,2,7,5.6,9.1,7.9,8.2,9.5,Placed,Amazon,Developer,8.4,Off-Campus,802778,Semi-Urban,7.51
S0034,Female,ME,4,20,6.06,60.4,89.2,3,73.1,5.5,137,7.6,5.2,5,3,2,8,5.2,6.1,5.4,6.5,9.2,Placed,Accenture,Developer,7.8,Off-Campus,1221741,Rural,5.43
S0035,Female,ECE,3,21,6.99,65.2,77.1,0,87.2,9.2,111,6.8,6.2,3,5,1,1,9.5,6.6,6.2,5.7,5.8,Placed,Accenture,Software Engineer,13.8,Off-Campus,420499,Semi-Urban,7.2
S0036,Male,ME,3,20,9.47,87.2,86.7,3,82.0,7.8,123,6.2,7.0,4,5,2,6,9.6,7.2,9.5,7.6,6.8,Placed,Amazon,Intern,8.7,Off-Campus,1047940,Semi-Urban,8.02
S0037,Female,ECE,4,23,6.66,75.6,89.2,2,82.9,8.5,105,7.0,7.2,2,4,1,6,5.4,6.4,7.3,7.4,6.6,Placed,Deloitte,,8.0,On-Campus,686893,Semi-Urban,6.82
S0038,Male,CSE,4,22,7.66,75.7,72.2,0,99.0,8.4,109,7.6,9.6,1,5,1,7,7.7,7.3,9.5,7.6,5.7,Placed,Deloitte,Intern,10.7,On-Campus,1270288,Semi-Urban,7.93
S0039,Male,EEE,3,22,6.06,93.4,91.2,3,91.7,9.2,115,8.7,7.8,4,3,2,4,7.7,5.0,5.8,9.1,8.1,Placed,Deloitte,,7.5,On-Campus,1245660,Urban,7.2
S0040,Male,ME,3,22,7.91,92.2,76.5,0,82.4,5.7,105,5.6,5.2,1,2,0,10,6.9,6.1,6.0,7.4,7.8,Placed,Amazon,Analyst,9.4,On-Campus,205194,Rural,6.18
S0041,Male,CE,3,20,6.08,70.9,78.5,2,70.6,8.3,95,6.1,7.0,2,5,1,2,7.8,9.2,6.8,9.5,7.1,Placed,,Analyst,14.5,Off-Campus,1016981,Urban,7.11
S0042,Male,CE,4,23,9.28,67.3,95.0,4,71.0,7.9,134,6.9,7.1,4,3,0,0,7.3,7.1,6.8,9.2,9.3,Not Placed,Deloitte,Software Engineer,5.4,On-Campus,771678,Rural,7.73
S0043,Female,IT,4,21,9.3,89.7,89.5,1,90.5,5.2,133,6.8,9.8,0,3,2,3,7.4,8.2,8.7,8.3,8.1,Placed,Deloitte,Analyst,8.5,Off-Campus,729638,Urban,7.66
S0044,Female,ECE,4,23,9.15,91.7,72.7,3,95.1,6.0,112,7.0,8.0,2,3,2,2,8.8,6.2,8.0,5.3,6.3,Not Placed,Amazon,Developer,3.2,On-Campus,822860,Rural,7.26
S0045,Female,ME,3,21,7.13,79.0,60.4,2,91.2,6.3,131,9.0,8.2,3,5,2,1,7.6,8.2,7.8,9.3,6.9,Placed,Amazon,Software Engineer,13.1,On-Campus,966252,Semi-Urban,7.23
S0046,Female,IT,3,20,9.35,82.0,81.9,2,82.2,5.4,126,6.6,8.6,4,2,2,5,6.6,10.0,8.0,9.5,5.8,Placed,Deloitte,Software Engineer,4.1,Off-Campus,1012029,Semi-Urban,7.42
S0047,Female,ME,4,20,8.17,69.0,84.6,0,70.9,6.8,97,7.5,8.9,2,4,1,6,7.9,8.0,8.7,6.9,8.0,Not Placed,Deloitte,Software Engineer,4.1,Off-Campus,822681,Urban,7.47
S0048,Male,ECE,4,21,7.5,88.0,82.8,0,99.0,5.1,95,8.1,8.2,2,4,1,9,8.2,8.1,9.5,7.6,7.9,Placed,Wipro,Data Engineer,13.6,Off-Campus,758981,Urban,6.89
S0049,Female,CE,3,21,8.5,82.1,93.9,1,99.6,7.8,126,6.2,6.2,4,5,0,6,8.3,5.6,7.1,6.4,9.4,Placed,TCS,Analyst,7.9,On-Campus,622247,Semi-Urban,7.32
S0050,Female,CSE,3,21,6.05,77.6,90.2,0,86.5,6.1,111,8.6,9.4,3,5,0,11,8.1,7.0,9.0,5.1,9.3,Placed,Amazon,Intern,11.2,On-Campus,279147,Urban,6.74
S0051,Male,CE,3,23,6.57,62.1,75.7,3,72.1,6.4,95,7.7,8.7,5,1,1,7,8.3,9.3,7.5,7.4,9.2,Not Placed,TCS,Data Engineer,13.3,Off-Campus,1087983,Urban,6.66
S0052,Female,IT,3,21,8.97,92.1,62.2,3,86.2,9.6,121,7.2,8.7,3,6,2,1,6.6,9.2,8.6,5.6,7.7,Not Placed,,,7.5,On-Campus,1003964,Rural,8.17
S0053,Male,EEE,4,20,6.98,81.5,76.7,3,96.8,7.5,106,9.0,10.0,2,2,0,10,7.2,7.6,9.4,5.9,8.3,Not Placed,Accenture,Developer,6.1,Off-Campus,799618,Rural,7.1
S0054,Female,CSE,3,20,8.39,66.7,84.1,4,90.4,6.3,127,6.2,9.0,1,3,1,11,8.3,9.5,5.2,7.4,8.9,Not Placed,Amazon,Data Engineer,5.0,Off-Campus,664049,Rural,7.45
S0055,Male,IT,3,22,7.54,81.2,81.3,3,91.6,8.0,106,9.4,9.1,5,6,0,9,8.8,5.7,7.7,9.3,5.5,Placed,,Developer,10.3,Off-Campus,404804,Urban,8.09
S0056,Female,ECE,3,21,9.42,83.7,78.8,0,72.5,6.0,126,7.8,9.8,5,3,1,5,7.2,8.3,9.9,9.2,6.5,Placed,Capgemini,Intern,6.0,On-Campus,1078708,Semi-Urban,7.93
S0057,Female,CSE,4,23,9.81,78.4,76.4,0,73.2,5.4,112,8.0,5.8,2,6,2,5,6.8,6.2,7.5,9.8,5.8,Not Placed,Accenture,Intern,10.6,Off-Campus,1415477,Semi-Urban,7.44
S0058,Male,IT,4,23,9.53,85.1,70.3,3,73.8,5.1,138,9.4,7.5,4,4,1,9,8.6,8.2,9.3,7.4,7.6,Not Placed,Accenture,Analyst,6.8,Off-Campus,1224389,Semi-Urban,7.38
S0059,Male,ECE,3,23,7.08,80.4,69.7,2,97.1,9.8,138,9.1,7.9,4,6,0,11,6.1,5.4,5.9,7.8,9.2,Placed,Wipro,,7.2,Off-Campus,211742,Semi-Urban,7.65
S0060,Male,CE,3,22,6.78,93.2,77.5,2,85.8,8.6,102,8.0,6.6,4,5,1,0,5.0,9.7,8.0,9.1,6.2,Not Placed,Accenture,Data Engineer,6.0,On-Campus,1252118,Rural,6.98
S0061,Male,EEE,3,20,7.9,61.9,65.6,2,93.7,9.0,121,8.8,9.2,3,2,0,1,7.4,8.9,9.4,8.5,8.7,Placed,,Intern,8.0,On-Campus,1381021,Rural,7.8
S0062,Male,ECE,4,23,6.03,63.7,71.9,1,73.5,9.9,111,7.2,8.8,0,4,0,8,5.9,6.0,7.2,5.9,7.0,Placed,TCS,Developer,4.9,Off-Campus,532519,Urban,7.13
S0063,Male,ME,4,20,6.1,66.1,71.3,4,97.8,9.7,96,7.7,8.6,4,6,0,7,6.9,8.2,7.4,7.0,9.5,Placed,Wipro,Intern,6.8,On-Campus,253331,Semi-Urban,7.48
S0064,Male,ECE,4,22,8.21,84.2,80.5,3,94.6,8.7,111,5.3,10.0,4,2,2,11,6.5,8.8,5.4,9.6,8.1,Placed,Infosys,Analyst,12.3,On-Campus,801314,Urban,8.01
S0065,Male,ECE,3,21,8.08,82.6,62.3,1,76.7,8.5,110,5.4,6.3,5,5,2,3,8.9,6.0,5.2,5.7,9.9,Not Placed,Accenture,Developer,5.6,On-Campus,690942,Semi-Urban,7.34
S0066,Female,EEE,4,21,9.98,91.2,89.0,2,96.2,6.7,95,9.1,8.7,1,3,1,5,6.7,5.5,7.3,6.0,6.2,Not Placed,TCS,Software Engineer,14.4,On-Campus,623022,Semi-Urban,7.64
S0067,Female,ME,3,21,6.81,85.7,79.7,3,77.9,5.5,103,5.3,7.8,1,1,1,1,8.2,6.8,9.2,7.0,9.6,Placed,TCS,,8.9,On-Campus,337121,Urban,6.32
S0068,Male,IT,3,23,7.03,77.8,83.5,1,76.2,7.9,105,5.8,6.6,2,2,0,11,8.4,5.7,9.7,9.7,6.8,Not Placed,Capgemini,Analyst,4.3,On-Campus,969547,Rural,7.02
S0069,Female,IT,3,21,6.45,94.7,84.6,0,77.9,7.9,92,9.0,5.8,2,3,2,4,7.3,7.8,8.3,5.6,8.1,Placed,TCS,Analyst,14.3,On-Campus,1401690,Urban,6.26
S0070,Female,ECE,4,23,9.67,69.3,70.2,2,97.3,9.8,98,5.0,9.5,2,2,1,1,5.4,7.1,9.1,8.4,5.9,Placed,Infosys,Software Engineer,8.5,Off-Campus,1160452,Urban,8.34
S0071,Female,ME,3,22,9.11,89.2,76.5,1,97.5,7.2,136,6.4,8.0,4,2,1,4,8.5,7.3,8.7,5.7,8.8,Placed,Accenture,,9.7,On-Campus,225685,Semi-Urban,7.39
S0072,Female,ME,4,22,9.29,74.9,93.5,0,79.9,8.5,110,7.9,9.1,1,2,2,6,5.4,7.7,8.5,7.6,9.9,Not Placed,,Intern,5.2,Off-Campus,264451,Rural,7.81
S0073,Male,EEE,4,23,9.61,82.7,86.8,2,91.2,7.9,139,8.0,7.7,2,5,0,6,5.5,9.9,8.8,7.7,8.9,Placed,,Analyst,7.0,Off-Campus,239796,Urban,7.82
S0074,Female,CE,3,20,8.1,85.5,93.9,4,90.3,5.9,119,8.9,6.1,1,4,1,8,6.0,9.0,7.5,5.2,8.1,Placed,Infosys,Software Engineer,11.4,On-Campus,364335,Rural,6.35
S0075,Male,IT,3,21,7.8,82.2,86.1,2,94.2,8.0,119,7.5,6.7,4,2,0,2,6.4,8.1,7.3,9.8,7.2,Placed,Accenture,,4.5,Off-Campus,565484,Rural,7.1
S0076,Female,EEE,4,21,7.32,64.9,66.1,4,78.9,7.7,131,7.5,6.9,5,5,2,11,9.2,6.8,5.8,9.0,6.7,Placed,Wipro,Software Engineer,9.8,Off-Campus,528065,Rural,7.44
S0077,Female,CSE,3,21,8.36,75.5,62.3,4,85.3,7.5,131,8.6,9.9,4,1,2,3,8.4,5.1,9.2,6.5,7.1,Placed,,,11.3,Off-Campus,957278,Rural,7.58
S0078,Female,IT,4,23,7.82,79.7,80.2,4,90.0,7.6,121,7.5,5.0,2,4,1,8,6.9,5.6,5.2,5.7,6.6,Placed,Infosys,Analyst,3.0,Off-Campus,499683,Semi-Urban,6.53
S0079,Male,EEE,3,22,7.81,89.7,72.5,3,70.8,5.8,112,8.0,9.9,4,5,1,7,9.9,8.7,6.3,6.7,9.2,Placed,Amazon,Data Engineer,13.1,On-Campus,862640,Semi-Urban,7.64
S0080,Female,IT,4,21,9.75,75.5,69.6,3,81.3,7.3,92,9.5,9.9,4,1,2,11,6.2,6.8,7.6,9.5,9.5,Placed,Deloitte,Analyst,3.7,On-Campus,873640,Semi-Urban,8.04
S0081,Male,CE,4,22,9.94,92.2,88.3,4,90.9,8.0,90,7.0,10.0,1,4,0,6,8.0,6.7,9.9,5.7,9.7,Placed,TCS,,6.0,Off-Campus,359502,Semi-Urban,8.35
S0082,Female,CSE,4,21,9.19,75.4,72.8,0,77.6,7.4,92,6.9,7.4,0,5,0,7,9.2,9.4,8.9,6.7,7.1,Not Placed,Accenture,Data Engineer,14.6,Off-Campus,387232,Semi-Urban,7.81
S0083,Male,CE,4,21,9.03,79.2,71.1,4,98.7,7.4,126,5.0,9.8,3,1,2,8,9.0,7.4,6.8,7.5,7.7,Placed,Wipro,Intern,4.0,Off-Campus,1219325,Urban,7.9
S0084,Female,CSE,3,23,8.72,87.9,89.7,1,70.9,5.4,96,8.1,7.0,2,5,1,11,5.5,9.5,8.6,5.2,7.9,Placed,Wipro,Software Engineer,12.9,On-Campus,685662,Rural,6.67
S0085,Male,ECE,3,20,6.66,80.4,89.6,4,98.7,6.0,92,5.1,5.1,0,1,2,3,8.5,9.4,9.7,6.3,8.3,Not Placed,Accenture,Developer,10.8,Off-Campus,753882,Semi-Urban,5.8
S0086,Male,EEE,4,23,6.24,93.6,72.5,3,76.5,6.6,125,7.5,6.1,5,2,1,4,6.3,5.4,7.7,8.0,5.0,Placed,Wipro,Analyst,10.2,On-Campus,1475649,Rural,6.04
S0087,Female,CSE,4,21,8.76,83.1,89.1,3,71.5,7.1,138,9.0,9.7,2,2,0,8,6.8,9.7,7.3,6.6,9.2,Not Placed,Wipro,Developer,10.0,On-Campus,458248,Semi-Urban,7.53
S0088,Male,CE,3,21,8.92,78.3,89.8,1,78.8,8.0,92,7.7,5.1,0,4,1,6,7.4,5.4,7.8,9.4,6.3,Placed,TCS,Intern,5.0,Off-Campus,708786,Semi-Urban,7.38
S0089,Female,IT,3,20,6.19,60.8,74.8,1,93.6,9.3,93,6.3,7.7,4,1,0,3,9.0,9.8,6.6,9.7,7.4,Placed,Wipro,Analyst,11.0,Off-Campus,291514,Urban,7.23
S0090,Female,CSE,3,22,9.71,74.5,62.3,2,92.6,5.8,120,8.9,5.4,2,2,2,5,5.8,7.3,9.5,7.2,9.2,Not Placed,TCS,Developer,14.4,On-Campus,848456,Rural,6.65
S0091,Female,EEE,3,22,6.36,70.5,60.1,0,76.3,5.1,91,6.3,6.4,0,4,1,10,5.5,8.8,9.0,7.7,10.0,Placed,Wipro,Intern,3.9,Off-Campus,1450491,Semi-Urban,5.93
S0092,Female,CSE,3,21,7.14,86.2,78.3,0,75.9,7.2,103,8.7,5.4,3,3,0,0,5.8,8.5,8.5,8.2,9.0,Placed,Wipro,Data Engineer,7.0,Off-Campus,585921,Semi-Urban,6.36
S0093,Female,ME,3,22,8.69,67.3,72.0,0,89.3,7.2,126,8.1,9.3,4,2,1,0,6.1,7.6,7.9,8.3,5.1,Placed,Deloitte,Intern,8.7,Off-Campus,1013412,Urban,7.55
S0094,Female,IT,4,21,6.68,67.2,94.9,3,83.7,7.8,120,5.8,8.0,2,2,0,8,5.3,8.1,9.8,5.3,6.8,Placed,Accenture,Analyst,5.8,On-Campus,666873,Rural,6.42
S0095,Female,EEE,3,20,6.22,66.6,87.0,0,93.8,9.2,91,9.5,9.5,5,6,0,7,9.6,9.7,6.5,5.3,6.2,Not Placed,Amazon,,11.9,Off-Campus,1342710,Rural,7.7
S0096,Female,EEE,3,20,7.32,64.4,86.6,2,70.7,9.0,120,6.0,8.4,5,5,2,0,6.6,9.6,6.4,9.3,9.8,Placed,Infosys,,11.3,On-Campus,1450368,Semi-Urban,7.77
S0097,Female,ECE,4,21,9.06,70.9,93.4,2,88.3,5.5,136,9.9,9.9,2,3,2,10,5.9,8.3,6.2,6.1,6.3,Not Placed,Infosys,,4.4,Off-Campus,348544,Urban,7.3
S0098,Female,CE,3,20,7.65,91.0,91.1,0,91.9,9.7,132,5.0,7.5,0,1,1,1,8.2,8.3,8.7,7.9,9.7,Placed,Infosys,Analyst,9.8,On-Campus,1216124,Urban,7.44
S0099,Female,ECE,3,23,8.61,87.1,71.1,1,99.8,5.6,111,6.3,8.2,2,4,0,3,8.9,6.2,9.0,8.1,9.7,Placed,Amazon,Analyst,7.4,On-Campus,474154,Semi-Urban,7.44
S0100,Male,EEE,3,23,8.32,85.7,65.8,2,90.4,8.2,99,6.0,7.9,4,3,2,0,8.8,9.1,8.0,5.8,9.2,Placed,TCS,Intern,5.7,Off-Campus,868106,Rural,7.48
S0101,Male,IT,3,20,6.09,87.9,86.1,1,77.0,8.4,119,5.1,7.4,1,1,1,1,8.6,8.2,8.3,8.8,5.5,Not Placed,Infosys,Analyst,13.2,On-Campus,1033220,Semi-Urban,6.83
S0102,Female,CSE,3,21,9.95,69.4,73.2,3,73.2,8.4,122,8.7,9.2,5,2,2,4,5.3,9.1,6.7,9.3,5.0,Placed,Infosys,Intern,3.7,Off-Campus,325076,Rural,8.16
S0103,Female,CSE,4,21,6.17,91.1,76.6,2,89.2,6.3,108,8.5,8.2,0,6,1,7,8.9,8.3,5.2,6.4,9.0,Not Placed,Infosys,,8.6,Off-Campus,456365,Urban,6.88
S0104,Female,IT,3,20,9.87,64.8,82.1,1,85.7,6.7,135,9.0,9.0,3,4,2,5,7.5,6.5,6.3,9.4,9.2,Placed,Accenture,Software Engineer,8.7,Off-Campus,515847,Semi-Urban,8.19
S0105,Female,EEE,4,22,8.2,71.8,91.8,0,97.0,7.7,114,6.3,8.9,2,4,2,5,8.2,5.9,7.9,5.4,9.8,Not Placed,TCS,Software Engineer,9.8,Off-Campus,910186,Semi-Urban,7.54
S0106,Female,CSE,4,23,9.85,80.5,74.7,3,91.8,6.0,135,7.2,6.0,4,3,0,3,9.8,5.4,9.1,9.0,6.1,Placed,Amazon,Software Engineer,5.4,Off-Campus,662333,Semi-Urban,7.54
S0107,Female,CSE,3,22,6.46,63.6,87.4,4,85.3,5.1,90,8.3,8.3,2,5,0,1,9.1,7.9,8.9,8.2,8.7,Placed,Amazon,Developer,13.5,Off-Campus,1411711,Rural,6.85
S0108,Female,CSE,4,21,7.96,85.6,69.4,4,82.1,7.8,121,7.2,6.0,3,1,2,2,9.1,6.4,5.9,7.9,7.6,Placed,Capgemini,Software Engineer,14.6,On-Campus,308138,Rural,6.95
S0109,Female,CE,3,21,6.68,73.6,84.4,0,82.1,7.3,114,8.5,7.9,4,6,0,5,5.9,8.2,5.3,6.2,6.6,Not Placed,Capgemini,Software Engineer,9.6,On-Campus,909407,Urban,6.85
S0110,Male,CE,4,22,6.2,87.5,60.1,3,76.8,8.3,130,8.2,8.4,3,6,2,5,7.4,5.3,9.3,6.8,8.0,Placed,TCS,Intern,6.1,Off-Campus,1108904,Rural,7.22
S0111,Female,ME,4,20,8.47,77.3,90.5,3,70.5,5.7,106,5.6,10.0,4,3,1,4,9.7,6.9,5.4,9.6,7.7,Placed,Accenture,Intern,13.5,On-Campus,500140,Rural,7.91
S0112,Male,ECE,3,22,6.83,66.3,61.1,3,87.2,9.2,103,8.9,5.2,1,5,2,5,7.9,6.3,7.0,7.3,6.5,Not Placed,Deloitte,,14.9,Off-Campus,998899,Semi-Urban,6.95
S0113,Female,IT,3,22,8.35,85.7,84.9,3,76.4,5.7,134,8.6,5.5,5,5,2,10,5.5,6.9,5.5,8.0,6.3,Placed,Wipro,Analyst,11.9,Off-Campus,1479494,Urban,6.6
S0114,Female,IT,3,23,6.45,68.8,61.6,4,76.2,9.5,102,8.3,5.4,4,5,1,5,8.7,5.3,7.8,9.7,7.4,Placed,TCS,Analyst,7.0,On-Campus,757025,Urban,7.26
S0115,Male,IT,3,23,7.33,77.2,69.3,1,73.8,7.2,127,5.8,7.0,3,4,1,0,5.2,8.6,6.8,7.3,7.4,Placed,Wipro,Analyst,5.8,On-Campus,1340722,Semi-Urban,6.69
S0116,Female,ME,3,22,9.13,62.6,77.4,3,75.7,7.7,128,6.3,9.1,0,1,0,5,8.7,5.6,6.0,6.9,6.5,Placed,Amazon,,4.9,Off-Campus,299782,Rural,7.76
S0117,Male,CE,4,22,7.75,81.6,74.7,1,71.0,9.5,91,7.0,9.2,5,1,1,4,9.4,5.1,8.0,9.5,6.3,Placed,Wipro,Intern,5.8,Off-Campus,553267,Rural,8.06
S0118,Female,EEE,4,21,8.51,83.3,66.7,3,90.2,6.5,121,6.4,8.7,1,3,0,7,7.1,9.7,6.8,9.6,9.8,Placed,Capgemini,Intern,5.7,Off-Campus,307927,Semi-Urban,7.56
S0119,Female,EEE,4,23,8.59,73.3,71.7,2,82.0,5.9,121,6.1,9.5,2,2,2,8,7.1,6.0,5.8,6.8,9.3,Placed,Infosys,Software Engineer,14.6,Off-Campus,1243640,Semi-Urban,7.25
S0120,Male,ME,4,23,9.38,93.4,85.5,2,86.8,7.2,129,9.0,6.6,1,3,1,5,6.5,9.1,8.5,8.0,9.1,Placed,Wipro,Data Engineer,10.7,On-Campus,1006867,Rural,7.32
S0121,Female,EEE,4,21,7.3,90.6,83.4,2,89.1,6.2,95,8.2,5.4,1,1,2,11,9.4,9.8,9.2,9.8,6.1,Placed,Capgemini,Intern,5.0,On-Campus,744248,Urban,6.53
